DT,JONGMOK_CD,JONGMOK_NM,TM,CPRICE,DIFF,OPEN,HIGH,LOW,OFFER,BID,VOL,VOL_VALUE,EX_PRICE,EX_DIFF,EX_VOL
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
20210412,A122630,KODEX 레버리지,1558,27445,-10,27625,27685,27310,27445,27440,19471437,53507215,27445,-10,257060
